sample,X_D65,Y_D65,Z_D65,x_D65,y_D65,X_F2,Y_F2,Z_F2,x_F2,y_F2
122,0.0771156433126,0.0652116205951,0.0457292367121,0.41006635271,0.346766106889,0.0879431456375,0.0715159782717,0.0242485647682,0.478712384172,0.389292243491
123,0.555163775332,0.496829853633,0.353805222546,0.394909822793,0.35341461056,0.646095854322,0.558502281881,0.187107094236,0.464247629592,0.401307884504
124,0.413236301238,0.364616131812,0.256532455219,0.39949955372,0.352495609659,0.48367676228,0.414731800476,0.135369079223,0.467873111817,0.401180857116
125,0.292843827665,0.253481177951,0.171931806401,0.407714654098,0.352911623962,0.344428386499,0.291072894413,0.0908818580624,0.474169027361,0.400715378421
126,0.198943190954,0.166888072368,0.102869796784,0.424456456123,0.356065062729,0.232754855788,0.190476889507,0.0544055343559,0.487304625715,0.398789829903
127,0.134006490324,0.108330833305,0.0641164890011,0.437281198019,0.353498076512,0.15165100106,0.120065855604,0.0339437969151,0.496141715606,0.392807691137
128,0.583026968576,0.503591620509,0.317076970957,0.415351437429,0.358761283319,0.68422835842,0.576929049362,0.167311045263,0.478994378183,0.403879447342
129,0.435426535966,0.365849598327,0.215858631782,0.428091291822,0.35968645506,0.514476020367,0.425248165915,0.114029898768,0.488231578569,0.403555413875
130,0.317862603466,0.260783844155,0.147129810956,0.437962250362,0.359317132619,0.374441745093,0.304280178467,0.0777493005356,0.494984783513,0.402236289729
131,0.223419993136,0.175192814508,0.0853464858202,0.4616503829,0.361999070736,0.262698808266,0.204567013386,0.0450354651866,0.512781862968,0.399309973723
132,0.147189193521,0.112994777704,0.0529380670426,0.470069734904,0.360864978809,0.171070189159,0.130812747245,0.0279196049745,0.518704884578,0.396639597433
133,0.461388091846,0.365728859952,0.179709396098,0.458259850679,0.363249194577,0.549645567309,0.436753870009,0.0949493657711,0.508296273819,0.403897307475
134,0.333702699149,0.25721826318,0.113453015125,0.473757847153,0.365172864718,0.399936088295,0.311501627566,0.059914099147,0.518487259009,0.403838587665
135,0.239666804458,0.177728191721,0.0694055999337,0.492330548426,0.365094441421,0.27790511091,0.208217757357,0.0369191321136,0.53132465597,0.398089937721
136,0.482710342517,0.369939833,0.152451035503,0.480260432705,0.368062269694,0.577875569494,0.449072635314,0.0805705608667,0.52177496888,0.405476321695
137,0.354288327348,0.260077347549,0.0883686922797,0.504156824963,0.37009339474,0.417412779849,0.312408570709,0.0467344440121,0.537518080179,0.402300224779
138,0.248768189836,0.176285793552,0.0560721944151,0.517053948243,0.366402415177,0.287001487622,0.207850708165,0.029673740535,0.547163577142,0.396263928573
