sample,status,n_meta,xy_hull_area,xy_spread_max,xy_spread_mean,score,i1_err_xy_max,i1_err_y_max,dist_to_white_i1
833,ok,982,0.000413307486217,0.0404821844353,0.00746265005616,0.0915716127926,2.00148302124e-16,1.11022302463e-16,0.0138165748175
560,ok,805,0.000414286068419,0.0396335771155,0.00842910415039,0.0910337261558,1.24126707662e-16,1.11022302463e-16,0.0101093344795
231,ok,644,0.000421765227883,0.0381180475231,0.0085446957976,0.0904388140285,1.75541673429e-16,5.55111512313e-17,0.0217746878049
626,ok,865,0.000421164464939,0.0381742129794,0.0083434843707,0.0903826456462,1.24126707662e-16,1.11022302463e-16,0.0207066314463
593,ok,854,0.000421214625169,0.0378225470148,0.00773504201538,0.0899153104382,1.24126707662e-16,5.55111512313e-17,0.0211927247316
1166,ok,569,0.000409873048507,0.0387738738291,0.00896974831023,0.089752589312,1.57009245868e-16,1.11022302463e-16,0.00751252806162
649,ok,862,0.000419930952325,0.0374573402289,0.00851321256479,0.0895516970209,1.24126707662e-16,1.11022302463e-16,0.021101098919
1105,ok,426,0.00040698331565,0.0382754461268,0.00944627229294,0.0890026984634,1.75541673429e-16,5.55111512313e-17,0.0151650613107
1040,ok,523,0.000392324379702,0.0401119113029,0.00873057007335,0.0889369508818,1.24126707662e-16,1.11022302463e-16,0.021113276422
673,ok,704,0.000404322748336,0.0385211316797,0.00869854933032,0.0887795713461,1.24126707662e-16,5.55111512313e-17,0.0120997600322
618,ok,791,0.00040484540333,0.0384170946164,0.00850764911005,0.0887000728381,1.57009245868e-16,1.11022302463e-16,0.0110351269402
104,ok,519,0.000400620756732,0.0388550592069,0.00874864133738,0.0886792782823,2.48253415325e-16,1.11022302463e-16,0.0137785098046
725,ok,780,0.000403176125277,0.0381750156051,0.0091714997295,0.0883904505843,1.75541673429e-16,1.11022302463e-16,0.0147348161056
1242,ok,354,0.000404148313657,0.0382549784264,0.00727739000457,0.0882082540662,1.57009245868e-16,1.11022302463e-16,0.0186896534844
171,ok,535,0.000405383393532,0.0371977681161,0.00868127585115,0.0875800305101,2.00148302124e-16,5.55111512313e-17,0.0194219912987
568,ok,875,0.000398923981931,0.0371495609675,0.00771230304792,0.0865628994088,1.24126707662e-16,1.11022302463e-16,0.0217559964791
1204,ok,381,0.000394844449612,0.0363990605008,0.00742695957774,0.0852657863698,1.24126707662e-16,1.11022302463e-16,0.0152003795385
1135,ok,412,0.000383374222193,0.0372275694411,0.0088987186728,0.0850122198388,1.24126707662e-16,1.11022302463e-16,0.0147118635178
1174,ok,375,0.000391954398744,0.0360984078757,0.00718544926741,0.0845700255785,2.00148302124e-16,1.11022302463e-16,0.0162925203708
3,ok,352,0.000342546091408,0.0362367504969,0.00674543371093,0.078691368208,1.24126707662e-16,1.11022302463e-16,0.0201782394782
41,ok,348,0.000329283518309,0.0355580340859,0.00700540311913,0.0764731369069,2.00148302124e-16,1.11022302463e-16,0.0215097997059
866,ok,428,0.000281550295508,0.0381033872865,0.00888332517623,0.0736660877827,1.24126707662e-16,1.66533453694e-16,0.0212793683695
933,ok,499,0.000281788013245,0.0379687401241,0.00815711153205,0.0734147240199,1.57009245868e-16,1.11022302463e-16,0.0204236421941
559,ok,505,0.000289476019937,0.0361694861342,0.00802163144484,0.0725109348156,1.24126707662e-16,1.11022302463e-16,0.0110777624394
1067,ok,320,0.000289548208097,0.0360049833411,0.00872551699518,0.0724958717117,1.75541673429e-16,1.11022302463e-16,0.0129180355033
832,ok,624,0.000284090724383,0.036885748186,0.00749551662501,0.072475738437,1.66533453694e-16,1.66533453694e-16,0.0129237720394
625,ok,570,0.000293759072833,0.0353844677634,0.00748644855053,0.0721328462135,1.57009245868e-16,1.11022302463e-16,0.0204190618419
499,ok,530,0.000283160910408,0.0362543013301,0.00873685094046,0.0719809807672,1.24126707662e-16,1.11022302463e-16,0.0119610548036
776,ok,457,0.000271583882441,0.0370060020548,0.00838743776184,0.0712735555001,1.75541673429e-16,1.11022302463e-16,0.0113019516119
1031,ok,372,0.000268718925291,0.0372436743187,0.00855362138004,0.0712006696297,1.75541673429e-16,1.11022302463e-16,0.00937046327
617,ok,523,0.000285046300583,0.0350872734652,0.00914063372581,0.0711209562803,1.66533453694e-16,1.66533453694e-16,0.0103120846635
1173,ok,275,0.000287658335208,0.0346926710362,0.00867787802522,0.0709472468663,1.75541673429e-16,1.11022302463e-16,0.0119342122735
32,ok,324,0.000286498592801,0.0348726602849,0.00843955990457,0.070940403402,1.57009245868e-16,1.66533453694e-16,0.00971981942963
672,ok,480,0.000277192228727,0.0357311570695,0.00862502010513,0.0707192285377,1.24126707662e-16,1.11022302463e-16,0.0113371205979
